w1gmag,w1gerr,w2gmag,w2gerr,w3gmag,w3gerr,w1mag_2,w1sigm_2,w2mag_2,w2sigm_2,w3mag_2,w3sigm_2,w1gflg,w1flg_2,w2gflg,w2flg_2,w3gflg,w3flg_2,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,cc_flags
12.878,0.01,12.781,0.014,9.628,0.024,12.966,0.01,12.866,0.015,9.728,0.025,1.0,1.0,1.0,1.0,1.0,1.0,18.70718,0.007548817,17.88309,0.004799695,0000
13.181,0.009,13.093,0.015,9.967,0.031,13.181,0.01,13.081,0.015,9.932,0.032,1.0,1.0,1.0,1.0,1.0,1.0,18.61072,0.005799358,17.78741,0.004830083,0000
13.222,0.008,13.083,0.014,9.748,0.026,13.267,0.008,13.123,0.014,9.789,0.027,1.0,1.0,1.0,1.0,1.0,1.0,18.54016,0.006112448,17.93637,0.005060024,0000
12.487,0.009,12.409,0.012,9.318,0.024,12.79,0.009,12.723,0.012,9.751,0.027,0.0,0.0,0.0,0.0,0.0,0.0,18.57212,0.02526706,17.72756,0.02595677,hh00
10.815,0.006,10.646,0.007,7.128,0.006,11.454,0.006,11.293,0.007,7.949,0.006,1.0,1.0,1.0,1.0,1.0,1.0,17.6839,0.003719193,16.73096,0.002430241,0000
13.563,0.01,13.424,0.037,10.255,0.058,13.57,0.01,13.426,0.038,10.236,0.06,1.0,1.0,1.0,1.0,1.0,1.0,19.78793,0.01310313,18.8621,0.009560402,0000
13.203,0.01,12.95,0.012,9.138,0.015,13.234,0.01,12.985,0.012,9.191,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
11.606,0.007,11.416,0.008,7.661,0.009,12.133,0.007,11.975,0.009,8.323,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
13.682,0.013,13.524,0.019,10.34,0.037,13.753,0.013,13.593,0.019,10.427,0.039,0.0,0.0,0.0,0.0,0.0,0.0,18.26172,0.005121134,17.91936,0.004082097,0000
12.845,0.007,12.641,0.01,9.079,0.015,12.977,0.007,12.782,0.01,9.278,0.016,16.0,16.0,16.0,16.0,0.0,0.0,18.35793,0.004940502,17.62404,0.003973627,0000
12.95,0.008,12.908,0.021,9.761,0.034,12.968,0.008,12.922,0.022,9.778,0.036,0.0,0.0,0.0,0.0,0.0,0.0,18.60877,0.007477166,17.87303,0.005567429,0000
13.944,0.011,13.979,0.045,11.25,0.091,13.971,0.011,14.003,0.047,11.257,0.094,1.0,1.0,1.0,1.0,1.0,1.0,19.16438,0.008713545,18.53325,0.007707101,0000
12.494,0.008,12.461,0.012,10.609,0.09,12.599,0.008,12.566,0.013,10.716,0.095,1.0,1.0,1.0,1.0,1.0,1.0,18.10247,0.004518982,17.18821,0.002997015,0000
12.71,0.007,12.303,0.012,8.774,0.009,12.78,0.007,12.379,0.012,8.88,0.009,1.0,1.0,1.0,1.0,1.0,1.0,18.37329,0.007324759,17.69082,0.007701588,0000
13.101,0.008,12.935,0.011,10.438,0.024,13.159,0.008,12.994,0.011,10.51,0.025,0.0,0.0,0.0,0.0,0.0,0.0,18.83415,0.007162674,17.90357,0.004888673,0000
13.317,0.009,13.275,0.017,10.719,0.048,13.248,0.009,13.198,0.017,10.598,0.047,1.0,1.0,1.0,1.0,1.0,1.0,19.29968,0.009487242,18.22188,0.005574211,0000
12.535,0.006,12.464,0.009,9.417,0.014,12.704,0.007,12.645,0.01,9.636,0.016,0.0,0.0,0.0,0.0,0.0,0.0,18.81041,0.007391092,17.89414,0.004854926,0000
12.975,0.008,12.835,0.011,10.219,0.034,12.982,0.008,12.836,0.011,10.218,0.035,1.0,1.0,1.0,1.0,1.0,1.0,19.45237,0.01028192,18.33166,0.006850521,0000
14.41,0.023,14.133,0.046,11.445,0.125,14.379,0.024,14.094,0.05,11.388,0.126,1.0,1.0,1.0,1.0,0.0,0.0,19.08998,0.09906683,18.40641,0.05229302,0000
